objectid,fmr_code,fmr_areaname,fmr_0bdr,fmr_1bdr,fmr_2bdr,fmr_3bdr,fmr_4bdr,shape__area,shape__length
295,METRO27620N29135,"Moniteau County, MO HUD Metro FMR Area",698,703,922,1260,1413,1780511320.34375,204287.13192010322
296,METRO27740M27740,"Johnson City, TN MSA",887,893,1132,1398,1548,3447774261.25,371532.29843917023
297,METRO27780M27780,"Johnstown, PA MSA",840,846,1035,1431,1484,3108054296.9101562,260532.73034657678
298,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",805,870,1040,1402,1480,2814166312.0273438,250562.0610332832
299,METRO27860N05111,"Poinsett County, AR HUD Metro FMR Area",681,685,880,1161,1165,2996231129.140625,241063.01290316758
300,METRO27900M27900,"Joplin, MO HUD Metro FMR Area",760,765,947,1237,1285,5165632093.2734375,291930.85769728466
301,METRO27900N20021,"Cherokee County, KS HUD Metro FMR Area",664,668,877,1157,1161,2415122863.3085938,196664.91894560223
302,METRO27980M27980,"Kahului-Wailuku-Lahaina, HI HUD Metro FMR Area",1896,2000,2624,3398,4236,3457611925.4453125,708831.5917343416
303,METRO27980N15005,"Kalawao County, HI HUD Metro FMR Area",1801,1899,2492,3227,4024,35662457.29296875,57274.44701078302
304,METRO28020M28020,"Kalamazoo-Portage, MI MSA",838,998,1162,1531,1571,2744445618.8828125,209387.83931774268
305,METRO28100M28100,"Kankakee, IL MSA",914,1011,1326,1745,1774,3113829421.640625,247669.13522439334
306,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",1095,1197,1358,1769,2103,28028029706.808594,991176.9011345123
307,METRO28140N29013,"Bates County, MO HUD Metro FMR Area",702,706,927,1232,1555,3581844468.0273438,293038.15842075663
308,METRO28420M28420,"Kennewick-Richland, WA MSA",1122,1268,1538,2071,2385,16445893887.328125,654029.8488561305
309,METRO28450M28450,"Kenosha, WI MSA",1085,1092,1402,1899,2174,1330509776.796875,177045.9080036807
310,METRO28660M28660,"Killeen-Temple, TX HUD Metro FMR Area",983,990,1233,1711,2068,7626337849.5546875,377136.1809047619
311,METRO28660N48281,"Lampasas County, TX HUD Metro FMR Area",808,813,1067,1475,1790,2533772534.78125,236033.19216041896
312,METRO28700M28700,"Kingsport-Bristol, TN-VA MSA",720,818,1044,1338,1464,8245630225.996094,635858.4555479041
313,METRO28740M28740,"Kingston, NY MSA",1303,1386,1818,2245,2407,5428705873.9609375,371001.5167607488
314,METRO28880M28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY MSA",1364,1549,1979,2511,2694,7706875295.714844,548280.4142741055
315,METRO28940M28940,"Knoxville, TN HUD Metro FMR Area",1177,1184,1471,1864,2172,7647421075.2578125,673975.9242371137
316,METRO28940M47057,"Grainger County, TN HUD Metro FMR Area",712,717,941,1241,1246,1207703800.96875,272622.369393833
317,METRO28940N47013,"Campbell County, TN HUD Metro FMR Area",717,722,947,1249,1254,1995528799.7265625,253331.88055724985
318,METRO28940N47129,"Morgan County, TN HUD Metro FMR Area",748,753,988,1303,1308,2078991764.3125,235625.97758685393
319,METRO28940N47145,"Roane County, TN HUD Metro FMR Area",912,918,1092,1432,1832,1560290224.8632812,234317.59652029522
320,METRO29020M29020,"Kokomo, IN MSA",884,890,1123,1388,1567,1317313591.8789062,168962.91786481763
321,METRO29100M29100,"La Crosse-Onalaska, WI-MN HUD Metro FMR Area",804,889,1166,1515,1903,5212848727.078125,402203.1096669807
322,METRO29100N55123,"Vernon County, WI HUD Metro FMR Area",671,760,973,1221,1485,4032466081.609375,305592.551570841
323,METRO29180M29180,"Lafayette, LA HUD Metro FMR Area",779,898,1019,1301,1581,3774207609.779297,491596.8541210879
324,METRO29180N22001,"Acadia Parish, LA HUD Metro FMR Area",607,671,880,1055,1194,2291673114.0859375,283885.44845894596
325,METRO29180N22113,"Vermilion Parish, LA HUD Metro FMR Area",580,761,834,1100,1104,4491682731.9453125,428840.6517490511
326,METRO29200M18171,"Warren County, IN HUD Metro FMR Area",688,845,956,1330,1376,1635576008.7070312,189061.93431334718
327,METRO29200M29140,"Lafayette-West Lafayette, IN HUD Metro FMR Area",894,1032,1242,1489,1992,4077710169.7734375,337478.28291379596
328,METRO29200N18015,"Carroll County, IN HUD Metro FMR Area",709,742,973,1219,1328,1685732450.71875,184408.8665488538
329,METRO29340M29340,"Lake Charles, LA HUD Metro FMR Area",921,928,1217,1459,1611,9481302145.589844,590445.0950199737
330,METRO29340N22053,"Jefferson Davis Parish, LA HUD Metro FMR Area",601,664,871,1201,1461,2294773009.0351562,305297.20775246876
331,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",1053,1060,1365,1897,2090,52999146630.33984,1334114.8783290742
332,METRO29460M29460,"Lakeland-Winter Haven, FL MSA",1226,1230,1497,2023,2511,6698027407.890625,446186.71938434645
333,METRO29540M29540,"Lancaster, PA MSA",1102,1220,1526,1980,2020,4352749828.902344,324292.2696280716
334,METRO29620M29620,"Lansing-East Lansing, MI MSA",973,1012,1268,1627,1679,8230915495.128906,416745.4685416609
335,METRO29700M29700,"Laredo, TX MSA",956,962,1161,1499,1551,11205972266.027344,557517.8649952064
336,METRO29740M29740,"Las Cruces, NM MSA",744,951,1042,1449,1580,13886118832.3125,554167.2352608542
337,METRO29820M29820,"Las Vegas-Henderson-North Las Vegas, NV MSA",1333,1478,1735,2413,2764,32141761840.08203,916024.7682724529
338,METRO29940M29940,"Lawrence, KS MSA",895,1006,1182,1644,1983,2031726875.2695312,206567.19669434484
339,METRO30020M30020,"Lawton, OK HUD Metro FMR Area",779,784,1001,1392,1679,4159260809.2460938,285713.37626508425
340,METRO30020N40033,"Cotton County, OK HUD Metro FMR Area",728,733,962,1153,1614,2441582548.3125,238354.99510071057
341,METRO30140M30140,"Lebanon, PA MSA",1035,1112,1411,1797,1959,1619108141.0585938,168128.554617035
342,METRO30300M30300,"Lewiston, ID-WA MSA",925,931,1220,1697,2037,8111390732.796875,517319.4822492828
343,METRO30340M30340,"Lewiston-Auburn, ME MSA",1140,1218,1586,2050,2305,2502773357.1953125,272415.3069241629
344,METRO30460M30460,"Lexington-Fayette, KY MSA",883,1079,1272,1743,1940,6216223488.8515625,567627.7432818306
345,METRO30500N24009,"Calvert County, MD HUD Metro FMR Area",1811,1851,2083,2639,3106,928834624.0976562,249648.58518600807
346,METRO30500N24037,"St. Mary's County, MD HUD Metro FMR Area",1394,1672,1833,2264,2889,1550583219.0195312,658363.3889296482
347,METRO30620M30620,"Lima, OH MSA",839,844,1108,1338,1493,1839118837.2148438,196503.42165550665
348,METRO30700M30700,"Lincoln, NE HUD Metro FMR Area",855,926,1141,1587,1712,3827447738.515625,253649.24180877232
349,METRO30700N31159,"Seward County, NE HUD Metro FMR Area",730,756,967,1345,1450,2611096672.5898438,204371.05093291026
350,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",984,989,1147,1540,1822,13743281095.578125,692919.7701555549
351,METRO30780N05053,"Grant County, AR HUD Metro FMR Area",795,800,968,1226,1539,2407749736.3828125,232810.58301074713
352,METRO30860M30860,"Logan, UT-ID MSA",940,946,1241,1726,2082,8608602902.347656,559582.6020047119
353,METRO30980M30980,"Longview, TX HUD Metro FMR Area",1007,1013,1199,1606,1694,3181782612.2695312,297759.6817649618
354,METRO30980M48203,"Harrison County, TX HUD Metro FMR Area",869,960,1260,1511,1668,3347478996.9921875,309947.81536748476
355,METRO30980N48401,"Rusk County, TX HUD Metro FMR Area",890,895,1175,1451,1606,3397994627.1796875,295680.4877178728
356,METRO31020M31020,"Longview-Kelso, WA MSA",1000,1199,1451,2018,2434,6302974979.2890625,387076.7791459349
357,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",1863,2085,2601,3298,3672,15554902092.148438,1020403.956291284
358,METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",2682,2746,3236,4393,5246,2997713803.3554688,292615.2498751223
359,METRO31140M21163,"Meade County, KY HUD Metro FMR Area",814,819,1075,1463,1680,1354187104.1914062,212733.36558042705
360,METRO31140M31140,"Louisville, KY-IN HUD Metro FMR Area",966,1047,1272,1625,1891,10050654595.398438,718722.3603911138
361,METRO31140N18175,"Washington County, IN HUD Metro FMR Area",749,753,988,1185,1308,2193919772.9882812,236783.0364428176
362,METRO31140N21179,"Nelson County, KY HUD Metro FMR Area",770,781,1016,1360,1704,1762420584.7890625,330174.4018460507
363,METRO31140N21211,"Shelby County, KY HUD Metro FMR Area",954,1027,1143,1417,1697,1620667181.390625,186693.8923796067
364,METRO31180M31180,"Lubbock, TX HUD Metro FMR Area",818,990,1175,1634,1940,6748417768.417969,348273.24524974584
365,METRO31180N48079,"Cochran County, TX HUD Metro FMR Area",681,820,973,1170,1606,2901793247.6445312,216238.52059845845
366,METRO31180N48169,"Garza County, TX HUD Metro FMR Area",681,820,973,1353,1569,3322566409.9296875,229946.61844723663
367,METRO31180N48219,"Hockley County, TX HUD Metro FMR Area",848,854,973,1353,1632,3401414443.3320312,233316.47661325082
368,METRO31180N48305,"Lynn County, TX HUD Metro FMR Area",705,767,1007,1207,1465,3312243399.2929688,230426.78438163834
369,METRO31340M31340,"Lynchburg, VA MSA",1027,1033,1187,1635,1750,8818455542.765625,556176.1996241967
370,METRO31420M31420,"Macon-Bibb County, GA HUD Metro FMR Area",1085,1158,1307,1567,1731,4924812474.394531,459946.7367443221
371,METRO31420N13207,"Monroe County, GA HUD Metro FMR Area",984,1048,1174,1408,1662,1471029937.0625,175670.54443453072
372,METRO31540M31540,"Madison, WI HUD Metro FMR Area",1268,1482,1694,2236,2509,6008234819.5546875,317640.1089210764
373,METRO31540N55021,"Columbia County, WI HUD Metro FMR Area",824,911,1195,1645,1798,3915273377.34375,306650.9063484042
374,METRO31540N55045,"Green County, WI HUD Metro FMR Area",794,840,1097,1315,1452,2802919420.8242188,212086.2491436456
375,METRO31540N55049,"Iowa County, WI HUD Metro FMR Area",884,890,1168,1535,1959,3720940902.1210938,261542.1440778295
376,METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",1404,1552,2037,2442,2697,803219583.3671875,169304.9740336345
